Summary Country RD&D Budgets
COUNTRY,PRODUCT,FLOW,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,Total RD&D in Million USD (2019 prices and PPP),Group 7: Other cross-cutting techs/research,..,..,..,..,..,0.000,10.465,13.761,..,12.542,..,0.486,..,0.694,..,2.865,..,..,..,21.730,..,28.967,..,22.933,..,11.210,..,22.182,..,34.427,136.681,84.028,94.912,110.438,112.563,8.778,9.447,6.572,11.868,7.256,0.171,1.717,1.938,1.901,1.706,1.493
Australia,Total RD&D in Million USD (2019 prices and PPP),Group 8: Unallocated,..,..,..,..,..,0.000,0.000,0.000,..,0.000,..,0.000,..,0.000,..,0.000,..,..,..,0.000,..,0.000,..,0.000,..,0.000,..,0.000,..,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.031,2.038,5.321,2.542,1.900,1.765
Australia,Total RD&D in Million USD (2019 prices and PPP),Total budget,..,..,..,..,..,62.556,119.850,140.442,..,209.176,..,131.685,..,105.613,..,134.085,..,..,..,151.395,..,151.794,..,200.744,..,168.910,..,178.824,..,163.647,326.281,230.762,251.128,277.961,286.771,389.975,387.176,463.649,605.032,743.139,241.880,219.080,127.985,150.413,169.720,76.948
Australia,Total RD&D in Million USD (2019 prices and PPP),Memo: Low-carbon,..,..,..,..,..,20.274,60.199,72.819,..,112.332,..,64.403,..,48.947,..,70.025,..,..,..,58.729,..,73.129,..,56.056,..,58.621,..,70.066,..,74.483,269.971,177.814,189.720,213.268,224.821,186.272,353.257,403.696,558.761,706.712,177.664,182.428,116.009,115.268,135.074,72.110
Australia,Total RD&D in Million USD (2019 prices and PPP),Memo: Non-low-carbon,..,..,..,..,..,42.282,59.652,67.623,..,96.866,..,67.282,..,56.683,..,64.061,..,..,..,92.667,..,78.665,..,144.688,..,110.289,..,108.759,..,89.163,56.308,52.947,61.410,64.694,61.952,203.702,33.920,59.952,46.271,36.426,64.217,36.652,11.976,35.146,34.648,4.838
Austria,Total RD&D in Million USD (2019 prices and exch. rates),Group 1: Energy efficiency,..,..,..,17.335,19.165,17.691,22.861,19.088,22.178,17.140,25.153,22.006,19.756,13.879,18.606,9.025,8.427,10.168,8.524,12.725,15.702,14.317,14.462,13.605,10.882,12.104,11.185,14.048,12.020,7.583,14.470,14.081,14.068,10.591,31.824,49.669,73.223,82.317,70.147,69.176,75.215,67.863,77.700,76.203,76.166,83.897
Austria,Total RD&D in Million USD (2019 prices and exch. rates),Group 2: Fossil fuels,..,..,..,1.488,2.183,4.529,0.540,2.904,7.795,3.189,4.120,5.000,0.797,1.282,1.470,0.947,0.288,1.443,1.908,2.203,1.381,1.274,2.701,2.708,0.938,1.029,0.695,0.972,0.624,0.690,0.664,0.325,1.302,1.211,3.665,0.658,1.198,1.436,1.625,6.315,0.751,5.279,1.766,2.735,0.683,1.670
Austria,Total RD&D in Million USD (2019 prices and exch. rates),Group 3: Renewable energy sources,..,..,..,9.788,12.664,14.524,17.470,13.212,12.709,14.237,7.343,7.106,5.373,5.275,8.406,4.642,3.106,7.122,6.129,8.357,10.806,12.785,9.923,11.885,15.628,14.699,10.218,12.170,14.694,14.839,14.056,17.380,19.492,20.438,33.087,43.214,44.236,42.352,35.732,36.700,39.488,26.355,35.718,24.750,26.415,26.323
Austria,Total RD&D in Million USD (2019 prices and exch. rates),Group 4: Nuclear,..,..,..,16.236,16.424,12.611,11.219,11.394,11.641,15.814,15.323,14.536,4.897,4.414,3.768,3.309,1.596,3.794,2.947,3.587,2.606,2.590,2.254,2.686,3.783,4.683,4.230,5.153,5.261,4.352,4.756,4.786,5.177,4.533,6.022,3.956,4.034,3.395,3.188,3.160,1.840,1.551,1.778,1.409,2.083,1.796
Austria,Total RD&D in Million USD (2019 prices and exch. rates),Group 5: Hydrogen and fuel cells,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.000,2.680,9.064,1.601,3.203,3.508,4.639,2.801,4.768,4.856,10.008,2.021,3.707,5.364,9.203,10.490
Austria,Total RD&D in Million USD (2019 prices and exch. rates),Group 6: Other power and storage technologies,..,..,..,12.878,9.745,6.156,11.340,11.538,10.271,8.232,10.009,10.657,8.577,8.421,9.862,6.909,4.320,8.152,5.111,5.371,6.887,5.791,6.737,5.875,6.630,4.807,5.035,7.071,5.751,5.909,11.071,5.585,5.050,3.133,7.026,8.601,23.127,15.806,29.024,27.429,42.992,42.750,36.325,43.118,33.002,22.999
Austria,Total RD&D in Million USD (2019 prices and exch. rates),Group 7: Other cross-cutting techs/research,..,..,..,4.293,16.701,9.113,6.084,6.056,6.084,8.872,11.798,10.868,3.794,4.380,4.055,1.540,1.056,1.608,2.206,3.293,1.817,2.632,3.199,4.339,5.703,4.759,5.102,6.452,5.941,4.024,4.372,3.398,5.559,2.466,11.421,12.820,8.644,8.031,7.587,7.439,4.045,7.186,8.073,7.923,24.908,19.798
Austria,Total RD&D in Million USD (2019 prices and exch. rates),Group 8: Unallocated,..,..,..,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Austria,Total RD&D in Million USD (2019 prices and exch. rates),Total budget,..,..,..,62.020,76.880,64.626,69.512,64.193,70.676,67.484,73.747,70.177,43.194,37.651,46.167,26.375,18.792,32.284,26.828,35.535,39.199,39.387,39.277,41.099,43.564,42.086,36.467,45.867,44.290,37.394,49.389,48.234,59.714,43.972,96.249,122.427,159.101,156.138,152.072,155.074,174.339,153.006,165.067,161.501,172.460,166.973
Austria,Total RD&D in Million USD (2019 prices and exch. rates),Memo: Low-carbon,..,..,..,60.530,74.699,60.095,68.974,61.288,62.883,64.295,69.626,65.173,42.397,36.369,44.697,25.425,18.505,30.844,24.917,33.333,37.818,38.115,36.575,38.390,42.626,41.052,35.770,44.894,43.667,36.707,48.725,47.937,58.524,42.863,93.258,121.888,158.651,155.372,151.368,149.010,173.877,150.928,163.741,159.761,172.084,165.864
Austria,Total RD&D in Million USD (2019 prices and exch. rates),Memo: Non-low-carbon,..,..,..,1.488,2.183,4.529,0.540,2.904,7.795,3.189,4.120,5.000,0.797,1.282,1.470,0.947,0.288,1.443,1.908,2.203,1.381,1.274,2.701,2.708,0.938,1.029,0.695,0.972,0.624,0.690,0.664,0.298,1.188,1.110,2.990,0.538,0.450,0.766,0.703,6.065,0.462,2.077,1.326,1.741,0.376,1.109
Austria,Total RD&D in Million USD (2019 prices and PPP),Group 1: Energy efficiency,..,..,..,20.368,22.518,20.787,26.862,22.429,26.059,20.139,29.555,25.857,23.213,16.308,21.862,10.604,9.901,11.947,10.016,14.951,18.450,16.822,16.993,15.986,12.787,14.222,13.142,16.507,14.124,8.911,17.003,16.545,16.530,12.445,37.393,58.361,86.037,96.722,82.422,81.282,88.378,79.739,91.297,89.538,89.495,98.579
Austria,Total RD&D in Million USD (2019 prices and PPP),Group 2: Fossil fuels,..,..,..,1.749,2.564,5.321,0.634,3.412,9.159,3.747,4.841,5.875,0.937,1.507,1.728,1.113,0.338,1.696,2.242,2.588,1.622,1.497,3.174,3.182,1.103,1.209,0.817,1.142,0.733,0.811,0.780,0.382,1.530,1.422,4.307,0.774,1.408,1.687,1.909,7.420,0.883,6.203,2.075,3.213,0.803,1.962
Austria,Total RD&D in Million USD (2019 prices and PPP),Group 3: Renewable energy sources,..,..,..,11.501,14.880,17.066,20.528,15.524,14.933,16.729,8.628,8.350,6.313,6.199,9.878,5.454,3.650,8.368,7.201,9.820,12.697,15.022,11.659,13.964,18.363,17.271,12.007,14.300,17.266,17.436,16.516,20.421,22.903,24.014,38.878,50.776,51.978,49.763,41.986,43.122,46.399,30.967,41.968,29.082,31.038,30.929
Austria,Total RD&D in Million USD (2019 prices and PPP),Group 4: Nuclear,..,..,..,19.078,19.299,14.818,13.183,13.388,13.678,18.582,18.004,17.080,5.754,5.187,4.428,3.888,1.875,4.458,3.463,4.214,3.062,3.043,2.649,3.157,4.445,5.503,4.970,6.055,6.182,5.113,5.588,5.624,6.083,5.326,7.076,4.649,4.739,3.989,3.746,3.713,2.162,1.822,2.089,1.655,2.447,2.111
Austria,Total RD&D in Million USD (2019 prices and PPP),Group 5: Hydrogen and fuel cells,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.000,3.149,10.650,1.882,3.763,4.122,5.451,3.291,5.603,5.705,11.759,2.375,4.355,6.303,10.813,12.326
Austria,Total RD&D in Million USD (2019 prices and PPP),Group 6: Other power and storage technologies,..,..,..,15.132,11.450,7.233,13.325,13.557,12.068,9.672,11.761,12.522,10.078,9.895,11.588,8.118,5.076,9.579,6.005,6.311,8.092,6.804,7.916,6.903,7.791,5.649,5.916,8.308,6.758,6.943,13.008,6.562,5.934,3.682,8.255,10.107,27.174,18.572,34.103,32.229,50.516,50.232,42.682,50.663,38.778,27.024
Austria,Total RD&D in Million USD (2019 prices and PPP),Group 7: Other cross-cutting techs/research,..,..,..,5.045,19.624,10.708,7.149,7.116,7.149,10.425,13.863,12.770,4.458,5.146,4.764,1.809,1.241,1.889,2.592,3.870,2.136,3.092,3.759,5.099,6.701,5.592,5.995,7.582,6.980,4.728,5.137,3.992,6.532,2.897,13.420,15.063,10.157,9.437,8.914,8.741,4.753,8.443,9.486,9.309,29.267,23.263
Austria,Total RD&D in Million USD (2019 prices and PPP),Group 8: Unallocated,..,..,..,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Austria,Total RD&D in Million USD (2019 prices and PPP),Total budget,..,..,..,72.874,90.334,75.936,81.676,75.426,83.045,79.293,86.653,82.458,50.753,44.239,54.246,30.991,22.080,37.934,31.522,41.754,46.059,46.280,46.150,48.291,51.188,49.451,42.849,53.893,52.041,43.938,58.032,56.675,70.164,51.667,113.092,143.851,186.943,183.462,178.684,182.212,204.849,179.782,193.954,189.763,202.641,196.193
Austria,Total RD&D in Million USD (2019 prices and PPP),Memo: Low-carbon,..,..,..,71.124,87.771,70.612,81.047,72.014,73.887,75.547,81.811,76.579,49.816,42.735,52.520,29.873,21.743,36.241,29.277,39.166,44.437,44.783,42.976,45.109,50.087,48.237,42.030,52.752,51.310,43.131,57.252,56.325,68.766,50.364,109.578,143.219,186.415,182.561,177.857,175.085,204.306,177.340,192.394,187.718,202.199,194.891
Austria,Total RD&D in Million USD (2019 prices and PPP),Memo: Non-low-carbon,..,..,..,1.749,2.564,5.321,0.634,3.412,9.159,3.747,4.841,5.875,0.937,1.507,1.728,1.113,0.338,1.696,2.242,2.588,1.622,1.497,3.174,3.182,1.103,1.209,0.817,1.142,0.733,0.811,0.780,0.350,1.396,1.304,3.514,0.633,0.529,0.900,0.826,7.127,0.544,2.441,1.558,2.045,0.442,1.303
Belgium,Total RD&D in Million USD (2019 prices and exch. rates),Group 1: Energy efficiency,24.067,22.466,24.241,17.010,11.103,14.744,16.542,18.529,13.994,18.894,22.398,13.729,16.270,5.477,5.954,1.374,..,10.931,4.746,10.155,13.823,12.517,16.186,14.327,20.953,6.344,..,..,..,..,..,..,..,31.048,..,..,0.000,56.493,96.433,62.759,62.413,63.813,51.850,50.376,64.632,..
Belgium,Total RD&D in Million USD (2019 prices and exch. rates),Group 2: Fossil fuels,9.720,11.553,11.311,13.063,6.378,11.362,18.686,26.619,30.810,35.205,18.688,18.520,24.088,11.001,7.146,7.015,..,1.437,1.927,1.719,2.436,2.011,2.429,3.367,0.681,1.286,..,..,..,..,..,..,..,2.532,..,..,0.000,0.000,3.044,0.122,1.892,2.120,0.816,0.000,0.951,..
Belgium,Total RD&D in Million USD (2019 prices and exch. rates),Group 3: Renewable energy sources,0.667,1.879,2.321,3.559,4.451,11.259,19.112,29.938,14.792,21.733,24.843,24.247,9.619,7.456,3.473,0.805,..,0.502,2.983,3.412,3.606,5.779,4.316,4.835,1.983,1.562,..,..,..,..,..,..,..,19.997,..,..,0.000,21.570,21.671,23.356,32.562,21.030,17.844,18.851,13.127,..
Belgium,Total RD&D in Million USD (2019 prices and exch. rates),Group 4: Nuclear,176.945,223.888,209.044,219.353,170.959,163.606,201.329,145.227,145.462,113.011,130.891,128.778,120.717,121.445,105.083,75.162,..,..,..,..,39.412,39.722,58.286,60.171,78.679,63.694,..,..,..,..,..,..,..,59.529,..,..,72.058,88.060,100.854,126.643,81.134,91.271,104.252,84.175,87.973,109.944
Belgium,Total RD&D in Million USD (2019 prices and exch. rates),Group 5: Hydrogen and fuel cells,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.802,..,..,0.000,1.805,0.269,0.000,3.842,1.457,1.476,2.218,2.288,..
Belgium,Total RD&D in Million USD (2019 prices and exch. rates),Group 6: Other power and storage technologies,33.733,29.619,29.406,2.829,2.203,4.788,8.871,3.373,1.339,0.420,0.760,0.896,0.558,0.000,2.976,2.133,..,0.142,3.763,10.774,6.041,8.289,8.288,2.697,7.104,4.231,..,..,..,..,..,..,..,6.741,..,..,0.000,18.920,34.301,21.690,15.143,10.683,14.476,23.945,17.193,..
Belgium,Total RD&D in Million USD (2019 prices and exch. rates),Group 7: Other cross-cutting techs/research,38.310,33.197,34.809,2.781,8.452,10.457,5.560,11.375,10.627,9.279,13.280,8.122,7.007,4.824,0.842,0.000,..,3.025,3.364,1.868,2.754,2.842,1.764,2.207,1.548,0.886,..,..,..,..,..,..,..,5.899,..,..,0.000,3.677,4.434,3.614,4.988,2.321,2.549,4.758,10.550,..
Belgium,Total RD&D in Million USD (2019 prices and exch. rates),Group 8: Unallocated,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,..,..,..,..,0.000,0.000,0.000,0.000,0.000,0.000,..,..,..,..,..,..,..,0.000,..,..,0.000,0.000,0.000,0.000,0.000,0.000,5.130,0.609,0.000,..
Belgium,Total RD&D in Million USD (2019 prices and exch. rates),Total budget,283.440,322.606,311.132,258.587,203.548,216.215,270.103,235.064,217.025,198.539,210.860,194.292,178.260,150.203,125.474,86.489,..,..,..,..,68.074,71.159,91.268,87.602,110.947,78.002,..,..,..,..,..,..,..,126.549,..,..,72.058,190.526,261.007,238.185,201.975,192.694,198.391,184.935,196.712,..
Belgium,Total RD&D in Million USD (2019 prices and exch. rates),Memo: Low-carbon,273.722,311.049,299.821,245.532,197.168,204.854,251.414,208.442,186.214,163.337,192.172,175.772,154.171,139.202,118.328,79.474,..,14.600,14.856,26.209,65.636,69.149,88.840,84.237,110.267,76.717,..,..,..,..,..,..,..,124.130,..,..,72.058,190.525,261.006,238.062,201.242,192.671,197.577,184.932,195.763,..
Belgium,Total RD&D in Million USD (2019 prices and exch. rates),Memo: Non-low-carbon,9.720,11.553,11.311,13.063,6.378,11.362,18.686,26.619,30.810,35.205,18.688,18.520,24.088,11.001,7.146,7.015,..,1.437,1.927,1.719,2.436,2.011,2.429,3.367,0.681,1.286,..,..,..,..,..,..,..,2.418,..,..,0.000,0.000,0.000,0.122,0.732,0.024,0.816,0.000,0.951,..
Belgium,Total RD&D in Million USD (2019 prices and PPP),Group 1: Energy efficiency,28.466,26.572,28.672,20.119,13.132,17.438,19.566,21.915,16.552,22.347,26.491,16.238,19.244,6.478,7.042,1.625,..,12.928,5.613,12.011,16.350,14.805,19.144,16.946,24.783,7.503,..,..,..,..,..,..,..,36.723,..,..,0.000,66.819,114.060,74.230,73.821,75.477,61.327,59.584,76.445,..
Belgium,Total RD&D in Million USD (2019 prices and PPP),Group 2: Fossil fuels,11.497,13.665,13.379,15.450,7.544,13.438,22.102,31.485,36.441,41.640,22.103,21.905,28.491,13.012,8.452,8.297,..,1.699,2.279,2.033,2.881,2.379,2.873,3.983,0.805,1.521,..,..,..,..,..,..,..,2.995,..,..,0.000,0.000,3.600,0.144,2.238,2.507,0.966,0.000,1.125,..
Belgium,Total RD&D in Million USD (2019 prices and PPP),Group 3: Renewable energy sources,0.789,2.223,2.746,4.209,5.265,13.317,22.605,35.411,17.495,25.706,29.384,28.679,11.377,8.819,4.107,0.952,..,0.593,3.528,4.036,4.265,6.836,5.105,5.719,2.346,1.848,..,..,..,..,..,..,..,23.652,..,..,0.000,25.513,25.632,27.625,38.514,24.874,21.106,22.297,15.526,..
Belgium,Total RD&D in Million USD (2019 prices and PPP),Group 4: Nuclear,209.287,264.811,247.253,259.446,202.207,193.510,238.128,171.772,172.050,133.668,154.816,152.317,142.781,143.642,124.290,88.901,..,..,..,..,46.616,46.983,68.939,71.170,93.060,75.336,..,..,..,..,..,..,..,70.409,..,..,85.229,104.156,119.289,149.791,95.964,107.954,123.307,99.560,104.053,130.040
Belgium,Total RD&D in Million USD (2019 prices and PPP),Group 5: Hydrogen and fuel cells,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.948,..,..,0.000,2.135,0.318,0.000,4.544,1.723,1.746,2.624,2.706,..
Belgium,Total RD&D in Million USD (2019 prices and PPP),Group 6: Other power and storage technologies,39.899,35.033,34.781,3.346,2.605,5.664,10.493,3.989,1.584,0.497,0.899,1.060,0.660,0.000,3.521,2.523,..,0.168,4.450,12.743,7.146,9.804,9.803,3.189,8.403,5.004,..,..,..,..,..,..,..,7.974,..,..,0.000,22.379,40.571,25.654,17.911,12.636,17.122,28.322,20.335,..
Belgium,Total RD&D in Million USD (2019 prices and PPP),Group 7: Other cross-cutting techs/research,45.313,39.265,41.171,3.289,9.997,12.368,6.576,13.454,12.570,10.975,15.707,9.607,8.287,5.706,0.996,0.000,..,3.577,3.979,2.209,3.257,3.362,2.086,2.611,1.830,1.048,..,..,..,..,..,..,..,6.977,..,..,0.000,4.350,5.245,4.274,5.899,2.746,3.015,5.628,12.478,..
Belgium,Total RD&D in Million USD (2019 prices and PPP),Group 8: Unallocated,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,..,..,..,..,0.000,0.000,0.000,0.000,0.000,0.000,..,..,..,..,..,..,..,0.000,..,..,0.000,0.000,0.000,0.000,0.000,0.000,6.068,0.721,0.000,..
Belgium,Total RD&D in Million USD (2019 prices and PPP),Total budget,335.248,381.572,368.001,305.852,240.752,255.735,319.473,278.029,256.693,234.828,249.401,229.805,210.842,177.657,148.408,102.298,..,..,..,..,80.517,84.166,107.950,103.615,131.226,92.260,..,..,..,..,..,..,..,149.679,..,..,85.229,225.351,308.714,281.721,238.893,227.915,234.653,218.738,232.668,..
Belgium,Total RD&D in Million USD (2019 prices and PPP),Memo: Low-carbon,323.754,367.904,354.623,290.409,233.206,242.297,297.368,246.541,220.251,193.193,227.297,207.901,182.349,164.645,139.956,94.001,..,17.266,17.570,30.999,77.634,81.790,105.077,99.635,130.422,90.739,..,..,..,..,..,..,..,146.818,..,..,85.229,225.352,308.715,281.574,238.025,227.889,233.691,218.736,231.543,..
Belgium,Total RD&D in Million USD (2019 prices and PPP),Memo: Non-low-carbon,11.497,13.665,13.379,15.450,7.544,13.438,22.102,31.485,36.441,41.640,22.103,21.905,28.491,13.012,8.452,8.297,..,1.699,2.279,2.033,2.881,2.379,2.873,3.983,0.805,1.521,..,..,..,..,..,..,..,2.860,..,..,0.000,0.000,0.000,0.144,0.866,0.028,0.966,0.000,1.125,..
Canada,Total RD&D in Million USD (2019 prices and exch. rates),Group 1: Energy efficiency,0.000,0.000,26.903,28.765,41.665,41.664,54.959,80.316,94.580,119.749,119.580,124.803,50.404,50.904,53.617,51.605,51.372,46.427,39.234,42.938,63.622,62.125,63.691,61.465,62.512,66.222,51.613,65.096,98.554,99.378,52.843,59.998,75.545,75.121,76.248,121.796,125.042,112.569,107.555,109.176,111.327,116.398,82.607,137.576,250.554,295.181
Canada,Total RD&D in Million USD (2019 prices and exch. rates),Group 2: Fossil fuels,78.175,56.202,66.061,116.176,160.369,148.561,114.680,136.674,202.852,224.670,314.433,263.616,351.128,252.011,242.266,184.053,192.188,178.241,145.474,101.008,79.375,77.734,84.112,64.428,68.324,70.668,61.824,74.150,68.053,78.400,87.029,104.882,130.827,153.750,162.852,235.197,345.916,331.491,551.798,662.995,292.029,257.959,136.638,180.466,275.628,268.161
